ACBD5,13,"27484142,27493368,27494126,27497174,27499742,27504463,27506908,27508651,27512266,27520676,27524020,27529247,27529602,","27486371,27493478,27494177,27497374,27500010,27504570,27507112,27508786,27512381,27520749,27524141,27529413,27529808,",
SPRED1,7,"38545051,38591573,38614441,38616963,38631937,38641622,38643214,","38545418,38591748,38614610,38617010,38632096,38641724,38649450,",
SLC12A2,27,"127419482,127448505,127449903,127450277,127466758,127469856,127471391,127474288,127474515,127477521,127483313,127484445,127485688,127486932,127488397,127493744,127497351,127503452,127507358,127510232,127512796,127514258,127516574,127518546,127520057,127520480,127522187,","127420402,127448625,127449979,127450373,127466898,127469967,127471500,127474416,127474600,127477673,127483421,127484569,127485790,127487088,127488497,127493856,127497492,127503559,127507438,127510358,127512844,127514381,127516686,127518633,127520193,127520548,127525380,",
IGFBP4,4,"38599675,38609236,38610179,38612700,","38600336,38609394,38610314,38613982,",
UBE2L3,4,"21921835,21947149,21965145,21975803,","21922060,21947245,21965332,21978323,",
UBE2I,7,"1359627,1364020,1364293,1365654,1370174,1370438,1374730,","1359774,1364097,1364377,1365727,1370284,1370518,1377019,",
SHOX2,6,"157813799,157817648,157818042,157820466,157822846,157823467,","157816109,157817737,157818100,157820675,157822918,157823952,",
PRMT3,16,"20409075,20409564,20411289,20413756,20414442,20417348,20419122,20424464,20429456,20448311,20473675,20483525,20486005,20515464,20515712,20529849,","20409320,20409700,20411372,20413806,20414545,20417508,20419267,20424530,20429578,20448411,20473754,20483713,20486092,20515515,20515800,20530879,",
ALG3,9,"183960116,183960600,183961341,183961578,183962388,183962985,183963255,183963500,183966532,","183960464,183960745,183961418,183961784,183962509,183963146,183963403,183963600,183966759,",
TSHZ1,2,"72922709,72997402,","72923198,73001905,",
ATP6V0C,4,"2563726,2564080,2569218,2569541,","2563777,2564183,2569402,2570224,",
CD274,7,"5450502,5456099,5457078,5462833,5465498,5466769,5467839,","5450596,5456165,5457420,5463121,5465606,5466829,5470567,",
CNTNAP2,24,"145813452,146471362,146536802,146740998,146805238,146818070,146825784,146829336,146997232,147092700,147183026,147259229,147336197,147600656,147674953,147815209,147844582,147869333,147914379,147926737,147964124,148080740,148106482,148112508,","145814065,146471473,146536996,146741146,146805442,146818255,146825928,146829601,146997382,147092872,147183133,147259349,147336398,147600813,147675081,147815380,147844801,147869570,147914616,147926871,147964218,148080980,148106563,148118088,",
